resume_text,job_description,match_score
"Data scientist skilled in data analysis, visualization, and SQL.","Seeking a data scientist with strong skills in data analysis and SQL.",1
"Web developer proficient in HTML, CSS, JavaScript, and React.","Hiring a web developer proficient in JavaScript and React.",1
"Marketing specialist with experience in social media and content creation.","Need a marketing specialist experienced in social media management.",1
"Experienced software engineer with expertise in Python and machine learning.","Looking for a software engineer with experience in Python and machine learning.",1
"Project manager with a track record of successful projects in IT.","Opening for a project manager with expertise in IT project delivery.",1
"Data scientist skilled in data analysis, visualization, and SQL.","Looking for a software engineer with experience in Python and machine learning.",0
"Web developer proficient in HTML, CSS, JavaScript, and React.","Seeking a data scientist with strong skills in data analysis and SQL.",0
"Marketing specialist with experience in social media and content creation.","Hiring a web developer proficient in JavaScript and React.",0
"Experienced software engineer with expertise in Python and machine learning.","Need a marketing specialist experienced in social media management.",0
"Project manager with a track record of successful projects in IT.","Looking for a software engineer with experience in Python and machine learning.",0
"Data scientist skilled in data analysis, visualization, and SQL.","Opening for a project manager with expertise in IT project delivery.",0
"Web developer proficient in HTML, CSS, JavaScript, and React.","Need a marketing specialist experienced in social media management.",0
"Marketing specialist with experience in social media and content creation.","Opening for a project manager with expertise in IT project delivery.",0
"Experienced software engineer with expertise in Python and machine learning.","Hiring a web developer proficient in JavaScript and React.",0
"Project manager with a track record of successful projects in IT.","Seeking a data scientist with strong skills in data analysis and SQL.",0
"Data scientist skilled in data analysis, visualization, and SQL.","Need a marketing specialist experienced in social media management.",0
"Web developer proficient in HTML, CSS, JavaScript, and React.","Opening for a project manager with expertise in IT project delivery.",0
"Marketing specialist with experience in social media and content creation.","Seeking a data scientist with strong skills in data analysis and SQL.",0
"Experienced software engineer with expertise in Python and machine learning.","Opening for a project manager with expertise in IT project delivery.",0
"Project manager with a track record of successful projects in IT.","Need a marketing specialist experienced in social media management.",0
"Data scientist skilled in data analysis, visualization, and SQL.","Hiring a web developer proficient in JavaScript and React.",0
"Web developer proficient in HTML, CSS, JavaScript, and React.","Looking for a software engineer with experience in Python and machine learning.",0
"Marketing specialist with experience in social media and content creation.","Hiring a web developer proficient in JavaScript and React.",0
"Experienced software engineer with expertise in Python and machine learning.","Seeking a data scientist with strong skills in data analysis and SQL.",0
"Project manager with a track record of successful projects in IT.","Hiring a web developer proficient in JavaScript and React.",0
"Data scientist skilled in data analysis, visualization, and SQL.","Looking for a software engineer with experience in Python and machine learning.",0
"Web developer proficient in HTML, CSS, JavaScript, and React.","Seeking a data scientist with strong skills in data analysis and SQL.",0
"Marketing specialist with experience in social media and content creation.","Need a marketing specialist experienced in social media management.",1
"Experienced software engineer with expertise in Python and machine learning.","Looking for a software engineer with experience in Python and machine learning.",1
"Project manager with a track record of successful projects in IT.","Opening for a project manager with expertise in IT project delivery.",1
"Data scientist skilled in data analysis, visualization, and SQL.","Seeking a data scientist with strong skills in data analysis and SQL.",1
"Web developer proficient in HTML, CSS, JavaScript, and React.","Hiring a web developer proficient in JavaScript and React.",1
"Marketing specialist with experience in social media and content creation.","Need a marketing specialist experienced in social media management.",1
"Experienced software engineer with expertise in Python and machine learning.","Looking for a software engineer with experience in Python and machine learning.",1
"Project manager with a track record of successful projects in IT.","Opening for a project manager with expertise in IT project delivery.",1
"Data scientist skilled in data analysis, visualization, and SQL.","Need a marketing specialist experienced in social media management.",0
"Web developer proficient in HTML, CSS, JavaScript, and React.","Opening for a project manager with expertise in IT project delivery.",0
"Marketing specialist with experience in social media and content creation.","Hiring a web developer proficient in JavaScript and React.",0
"Experienced software engineer with expertise in Python and machine learning.","Need a marketing specialist experienced in social media management.",0
"Project manager with a track record of successful projects in IT.","Seeking a data scientist with strong skills in data analysis and SQL.",0
"Data scientist skilled in data analysis, visualization, and SQL.","Opening for a project manager with expertise in IT project delivery.",0
"Web developer proficient in HTML, CSS, JavaScript, and React.","Need a marketing specialist experienced in social media management.",0
"Marketing specialist with experience in social media and content creation.","Seeking a data scientist with strong skills in data analysis and SQL.",0
"Experienced software engineer with expertise in Python and machine learning.","Hiring a web developer proficient in JavaScript and React.",0
"Project manager with a track record of successful projects in IT.","Looking for a software engineer with experience in Python and machine learning.",0
"Data scientist skilled in data analysis, visualization, and SQL.","Hiring a web developer proficient in JavaScript and React.",0
"Web developer proficient in HTML, CSS, JavaScript, and React.","Looking for a software engineer with experience in Python and machine learning.",0
"Marketing specialist with experience in social media and content creation.","Need a marketing specialist experienced in social media management.",1
"Experienced software engineer with expertise in Python and machine learning.","Looking for a software engineer with experience in Python and machine learning.",1
"Project manager with a track record of successful projects in IT.","Opening for a project manager with expertise in IT project delivery.",1
